"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"05.12.2017","93,334","93,020","93,445","93,000","18,29K","0,20%"
"04.12.2017","93,144","93,040","93,345","93,005","30,07K","0,33%"
"01.12.2017","92,841","92,905","93,210","92,550","31,15K","-0,17%"
"30.11.2017","93,002","93,200","93,465","92,680","27,69K","-0,11%"
"29.11.2017","93,107","93,175","93,375","92,925","17,79K","-0,11%"
"28.11.2017","93,213","92,795","93,270","92,760","21,74K","0,42%"
"27.11.2017","92,825","92,665","92,865","92,430","22,70K","0,13%"
"24.11.2017","92,707","93,110","93,175","92,610","17,46K","-0,46%"
"23.11.2017","93,135","93,195","93,210","93,000","9,96K","0,00%"
"22.11.2017","93,135","93,855","93,880","93,120","24,89K","-0,79%"
"21.11.2017","93,877","93,945","94,085","93,795","11,70K","-0,13%"
"20.11.2017","93,997","93,730","94,020","93,485","19,68K","0,45%"
"17.11.2017","93,575","93,715","93,845","93,420","16,91K","-0,30%"
"16.11.2017","93,854","93,785","93,915","93,690","12,19K","0,14%"
"15.11.2017","93,726","93,770","93,800","93,305","25,25K","0,00%"
"14.11.2017","93,723","94,405","94,440","93,640","27,44K","-0,70%"
"13.11.2017","94,388","94,355","94,545","94,310","10,71K","0,12%"
"10.11.2017","94,278","94,365","94,555","94,155","14,65K","-0,08%"
"09.11.2017","94,352","94,850","94,865","94,305","22,01K","-0,44%"
"08.11.2017","94,768","94,765","94,865","94,680","11,41K","-0,03%"
"07.11.2017","94,800","94,630","95,070","94,600","23,73K","0,15%"
"06.11.2017","94,657","94,825","95,000","94,605","17,71K","-0,21%"
"03.11.2017","94,858","94,610","94,920","94,115","24,48K","0,29%"
"02.11.2017","94,588","94,665","94,695","94,305","17,09K","-0,13%"
"01.11.2017","94,709","94,415","94,755","94,400","16,62K","0,30%"
"31.10.2017","94,429","94,365","94,600","94,350","18,90K","-0,03%"
"30.10.2017","94,454","94,770","94,835","94,325","22,35K","-0,39%"
"27.10.2017","94,822","94,660","95,060","94,630","36,50K","0,33%"
"26.10.2017","94,509","93,495","94,615","93,365","44,61K","1,00%"
"25.10.2017","93,577","93,830","93,890","93,475","24,51K","-0,09%"
"24.10.2017","93,661","93,695","93,870","93,555","18,54K","-0,16%"
"23.10.2017","93,814","93,640","93,900","93,560","16,03K","0,25%"
"20.10.2017","93,579","93,045","93,675","92,995","27,27K","0,49%"
"19.10.2017","93,120","93,290","93,425","92,910","18,56K","-0,12%"
"18.10.2017","93,228","93,340","93,655","93,215","15,59K","-0,13%"
"17.10.2017","93,350","93,140","93,590","93,135","16,91K","0,20%"
"16.10.2017","93,161","92,965","93,210","92,930","15,65K","0,24%"
"13.10.2017","92,935","92,930","93,090","92,590","21,58K","0,04%"
"12.10.2017","92,898","92,755","93,065","92,635","17,44K","0,08%"
"11.10.2017","92,825","93,060","93,190","92,715","20,79K","-0,30%"
"10.10.2017","93,101","93,565","93,570","92,950","26,87K","-0,43%"
"09.10.2017","93,505","93,625","93,670","93,455","12,44K","-0,15%"
"06.10.2017","93,641","93,750","94,100","93,600","27,38K","-0,17%"
"05.10.2017","93,803","93,365","93,835","93,250","18,20K","0,85%"
"04.10.2017","93,014","92,885","93,055","92,805","0,24K","-0,12%"
"03.10.2017","93,129","93,200","93,480","93,000","0,15K","0,00%"
"02.10.2017","93,130","92,710","93,350","92,710","0,20K","0,56%"
"29.09.2017","92,608","92,755","92,825","92,570","0,10K","-0,05%"
"28.09.2017","92,652","93,000","93,150","92,700","0,06K","-0,26%"
"27.09.2017","92,896","92,675","93,100","92,600","0,16K","0,42%"
"26.09.2017","92,511","92,175","92,760","92,175","0,22K","0,36%"
"25.09.2017","92,176","91,890","92,230","91,790","0,20K","0,51%"
"22.09.2017","91,707","91,700","91,700","91,350","0,09K","-0,09%"
"21.09.2017","91,789","92,130","92,190","91,655","0,17K","-0,28%"
"20.09.2017","92,051","91,275","92,215","91,000","0,09K","0,81%"
"19.09.2017","91,311","91,505","91,505","91,270","0,13K","-0,56%"
"18.09.2017","91,824","91,655","91,995","91,585","18,27K","0,19%"
"15.09.2017","91,653","91,775","91,940","91,360","33,90K","-0,26%"
"14.09.2017","91,889","92,165","92,420","91,805","38,97K","-0,42%"
"13.09.2017","92,273","91,630","92,285","91,475","30,96K","0,71%"
"12.09.2017","91,626","91,670","91,805","91,520","11,57K","0,01%"
"11.09.2017","91,618","91,190","91,735","91,165","20,37K","0,56%"
"08.09.2017","91,106","91,215","91,275","90,795","6,53K","-0,34%"
"07.09.2017","91,417","91,925","92,000","91,175","5,79K","-0,65%"
"06.09.2017","92,017","91,955","92,110","91,720","2,22K","0,03%"
"05.09.2017","91,986","92,395","92,445","91,910","2,23K","-0,59%"
"04.09.2017","92,529","92,450","92,450","92,170","0,78K","0,00%"
"01.09.2017","92,529","92,360","92,640","91,830","2,22K","0,15%"
"31.08.2017","92,393","92,630","93,060","92,355","1,27K","-0,22%"
"30.08.2017","92,598","92,075","92,665","91,975","1,04K","0,69%"
"29.08.2017","91,959","91,990","92,185","91,350","1,40K","0,03%"
"28.08.2017","91,930","92,150","92,260","91,905","0,80K","-0,59%"
"25.08.2017","92,477","93,050","93,175","92,150","1,17K","-0,56%"
"24.08.2017","93,002","92,900","93,100","92,900","0,10K","0,14%"
"23.08.2017","92,875","93,275","93,340","92,850","0,65K","-0,41%"
"22.08.2017","93,256","92,820","93,290","92,820","0,20K","0,47%"
"21.08.2017","92,817","93,175","93,280","92,735","0,27K","-0,37%"
"18.08.2017","93,159","93,440","93,440","93,080","0,22K","-0,19%"
"17.08.2017","93,334","93,195","93,765","93,015","0,62K","0,10%"
"16.08.2017","93,243","93,540","93,840","93,180","0,50K","-0,34%"
"15.08.2017","93,559","93,200","93,785","93,170","0,40K","0,48%"
"14.08.2017","93,115","92,815","93,190","92,775","0,22K","0,37%"
"11.08.2017","92,771","93,100","93,220","92,640","0,65K","-0,37%"
"10.08.2017","93,119","93,250","93,500","93,050","0,53K","-0,14%"
"09.08.2017","93,250","93,390","93,565","93,190","0,16K","-0,09%"
"08.08.2017","93,330","93,070","93,565","92,950","0,38K","0,22%"
"07.08.2017","93,129","93,150","93,230","93,010","0,21K","-0,11%"
"04.08.2017","93,229","92,490","93,425","92,435","0,94K","0,76%"
"03.08.2017","92,527","92,630","92,730","92,400","0,19K","0,01%"
"02.08.2017","92,519","92,740","92,800","92,230","0,28K","-0,21%"
"01.08.2017","92,711","92,600","92,775","92,460","0,42K","0,19%"
"31.07.2017","92,538","92,955","93,180","92,480","0,22K","-0,42%"
"28.07.2017","92,929","93,500","93,600","92,950","0,22K","-0,84%"
"27.07.2017","93,715","93,325","93,950","93,000","33,81K","0,22%"
"26.07.2017","93,505","93,955","94,115","93,220","30,05K","-0,41%"
"25.07.2017","93,888","93,850","93,960","93,460","23,12K","0,10%"
"24.07.2017","93,798","93,785","93,945","93,650","13,39K","0,13%"
"21.07.2017","93,679","94,115","94,170","93,670","15,57K","-0,47%"
"20.07.2017","94,117","94,560","94,980","93,890","48,23K","-0,50%"
"19.07.2017","94,588","94,475","94,690","94,445","11,88K","0,20%"
"18.07.2017","94,402","94,950","94,970","94,275","33,62K","-0,53%"
"17.07.2017","94,904","94,885","95,120","94,800","12,28K","-0,03%"
"14.07.2017","94,930","95,550","95,615","94,870","23,34K","-0,61%"
"13.07.2017","95,508","95,530","95,695","95,245","18,65K","0,00%"
"12.07.2017","95,512","95,420","95,745","95,275","20,85K","0,09%"
"11.07.2017","95,422","95,830","95,960","95,405","16,46K","-0,37%"
"10.07.2017","95,777","95,795","95,945","95,690","20,01K","-0,02%"
"07.07.2017","95,792","95,585","95,930","95,525","20,49K","0,23%"
"06.07.2017","95,575","96,005","96,110","95,560","14,27K","-0,50%"
"05.07.2017","96,059","95,905","96,255","95,825","19,13K","0,09%"
"04.07.2017","95,969","95,890","96,085","95,805","7,55K","0,00%"
"03.07.2017","95,969","95,405","95,995","95,385","19,92K","0,57%"
"30.06.2017","95,421","95,310","95,565","95,225","20,29K","0,06%"
"29.06.2017","95,366","95,770","95,780","95,270","22,61K","-0,39%"
"28.06.2017","95,744","96,175","96,320","95,670","39,80K","-0,36%"
"27.06.2017","96,093","97,120","97,155","96,045","33,76K","-1,05%"
"26.06.2017","97,116","96,940","97,160","96,810","15,45K","0,18%"
"23.06.2017","96,942","97,255","97,295","96,860","14,01K","-0,37%"
"22.06.2017","97,303","97,225","97,350","97,115","27,55K","0,09%"
"21.06.2017","97,216","97,385","97,465","97,180","14,39K","-0,20%"
"20.06.2017","97,412","97,280","97,515","97,135","30,22K","0,09%"
"19.06.2017","97,325","97,115","97,345","97,050","1,08K","0,18%"
"16.06.2017","97,146","97,480","97,550","97,095","19,11K","-0,30%"
"15.06.2017","97,437","96,910","97,555","96,840","21,80K","0,53%"
"14.06.2017","96,921","97,005","97,110","96,305","57,20K","-0,02%"
"13.06.2017","96,942","97,170","97,260","96,925","21,80K","-0,18%"
"12.06.2017","97,121","97,235","97,300","97,020","24,18K","-0,12%"
"09.06.2017","97,239","97,260","97,470","97,125","29,76K","0,35%"
"08.06.2017","96,898","96,695","97,135","96,565","33,92K","0,20%"
"07.06.2017","96,708","96,565","96,940","96,455","24,75K","0,12%"
"06.06.2017","96,591","96,750","96,750","96,465","18,62K","-0,17%"
"05.06.2017","96,754","96,670","96,930","96,640","14,97K","0,09%"
"02.06.2017","96,670","97,165","97,260","96,580","29,20K","-0,48%"
"01.06.2017","97,141","96,955","97,270","96,850","16,41K","0,30%"
"31.05.2017","96,854","97,355","97,425","96,795","27,26K","-0,37%"
"30.05.2017","97,212","97,615","97,700","97,145","27,99K","-0,16%"
"29.05.2017","97,364","97,320","97,440","97,255","5,30K","0,00%"
"26.05.2017","97,364","97,150","97,465","96,965","24,10K","0,19%"
"25.05.2017","97,176","96,900","97,205","96,805","21,26K","0,03%"
"24.05.2017","97,147","97,320","97,375","96,945","31,82K","-0,12%"
"23.05.2017","97,264","96,830","97,320","96,705","34,01K","0,40%"
"22.05.2017","96,881","97,030","97,335","96,700","24,31K","-0,15%"
"19.05.2017","97,030","97,715","97,740","96,965","26,38K","-0,76%"
"18.05.2017","97,772","97,410","97,970","97,275","46,22K","0,32%"
"17.05.2017","97,462","97,990","98,010","97,330","29,34K","-0,55%"
"16.05.2017","97,998","98,760","98,770","97,970","32,80K","-0,81%"
"15.05.2017","98,801","99,060","99,140","98,670","18,48K","-0,33%"
"12.05.2017","99,131","99,530","99,585","99,035","24,67K","-0,38%"
"11.05.2017","99,505","99,565","99,765","99,375","18,32K","-0,05%"
"10.05.2017","99,559","99,340","99,605","99,250","21,26K","0,02%"
"09.05.2017","99,544","99,020","99,565","98,960","29,65K","0,61%"
"08.05.2017","98,936","98,370","99,055","98,355","29,51K","0,41%"
"05.05.2017","98,528","98,630","98,895","98,410","24,98K","-0,12%"
"04.05.2017","98,647","99,230","99,340","98,560","31,36K","-0,44%"
"03.05.2017","99,082","98,770","99,270","98,750","27,17K","0,41%"
"02.05.2017","98,674","98,780","98,920","98,660","0,24K","-0,10%"
"01.05.2017","98,775","98,685","98,895","98,585","0,09K","0,03%"
"28.04.2017","98,743","98,930","98,950","98,445","0,12K","-0,05%"
"27.04.2017","98,795","98,690","99,050","98,565","0,16K","0,04%"
"26.04.2017","98,760","98,555","99,045","98,460","0,12K","0,27%"
"25.04.2017","98,498","98,795","98,950","98,410","0,22K","-0,33%"
"24.04.2017","98,823","99,000","99,075","98,585","0,30K","-0,90%"
"21.04.2017","99,720","99,545","99,755","99,420","0,17K","0,20%"
"20.04.2017","99,525","99,585","99,585","99,160","0,09K","0,05%"
"19.04.2017","99,473","99,285","99,555","99,280","0,12K","0,23%"
"18.04.2017","99,244","100,140","100,140","99,200","0,14K","-0,79%"
"17.04.2017","100,034","100,280","100,280","99,765","0,23K","-0,26%"
"13.04.2017","100,298","99,875","100,320","99,775","0,23K","-0,24%"
"12.04.2017","100,541","100,465","100,555","99,840","0,12K","0,09%"
"11.04.2017","100,452","100,720","100,805","100,375","0,08K","-0,33%"
"10.04.2017","100,787","101,010","101,090","100,750","0,21K","-0,16%"
"07.04.2017","100,947","100,505","101,000","100,310","0,20K","0,53%"
"06.04.2017","100,415","100,165","100,500","100,165","0,09K","0,13%"
"05.04.2017","100,281","100,260","100,775","100,165","0,15K","0,01%"
"04.04.2017","100,266","100,160","100,400","100,160","0,07K","0,01%"
"03.04.2017","100,252","100,165","100,365","100,090","0,09K","0,19%"
"31.03.2017","100,058","100,170","100,280","100,000","0,28K","-0,07%"
"30.03.2017","100,125","99,775","100,205","99,650","0,15K","0,44%"
"29.03.2017","99,686","99,380","99,800","99,360","0,13K","0,30%"
"28.03.2017","99,389","98,930","99,450","98,795","0,16K","0,58%"
"27.03.2017","98,818","99,155","99,155","98,515","0,17K","-0,48%"
"24.03.2017","99,292","99,490","99,635","99,215","0,14K","-0,12%"
"23.03.2017","99,413","99,445","99,500","99,335","0,10K","0,10%"
"22.03.2017","99,318","99,420","99,540","99,245","0,16K","-0,15%"
"21.03.2017","99,464","99,850","99,930","99,370","0,14K","-0,61%"
"20.03.2017","100,074","99,930","100,110","99,700","0,08K","0,11%"
"17.03.2017","99,960","99,920","100,100","99,830","0,10K","-0,07%"
"16.03.2017","100,030","100,170","100,405","99,965","0,20K","-0,40%"
"15.03.2017","100,430","101,300","101,370","100,185","0,36K","-0,97%"
"14.03.2017","101,409","101,070","101,440","101,070","0,02K","0,21%"
"13.03.2017","101,195","101,160","101,265","100,865","22,84K","0,09%"
"10.03.2017","101,107","101,790","101,845","101,025","55,26K","-0,60%"
"09.03.2017","101,718","102,045","102,125","101,570","45,07K","-0,23%"
"08.03.2017","101,951","101,660","102,060","101,580","31,05K","0,26%"
"07.03.2017","101,685","101,625","101,785","101,400","6,45K","0,16%"
"06.03.2017","101,525","101,355","101,625","101,110","17,20K","0,09%"
"03.03.2017","101,433","101,995","102,190","101,225","10,49K","-0,66%"
"02.03.2017","102,104","101,735","102,160","101,710","1,87K","0,42%"
"01.03.2017","101,680","101,380","101,875","101,140","3,83K","0,62%"
"28.02.2017","101,049","101,165","101,300","100,705","1,25K","-0,03%"
"27.02.2017","101,079","101,040","101,220","100,625","0,99K","0,04%"
"24.02.2017","101,040","100,980","101,085","100,595","1,54K","0,04%"
"23.02.2017","100,998","101,270","101,345","100,800","1,24K","-0,12%"
"22.02.2017","101,124","101,280","101,630","101,085","0,80K","-0,15%"
"21.02.2017","101,280","100,990","101,530","100,990","0,50K","0,41%"
"20.02.2017","100,871","100,680","100,900","100,660","0,46K","0,00%"
"17.02.2017","100,871","100,450","100,870","100,390","0,40K","0,50%"
"16.02.2017","100,365","100,865","100,960","100,355","0,74K","-0,72%"
"15.02.2017","101,089","101,235","101,650","100,940","0,73K","-0,06%"
"14.02.2017","101,148","100,910","101,285","100,650","0,42K","0,26%"
"13.02.2017","100,885","100,780","101,025","100,510","0,43K","0,16%"
"10.02.2017","100,721","100,600","100,920","100,500","0,52K","0,16%"
"09.02.2017","100,562","100,220","100,580","100,050","0,46K","0,36%"
"08.02.2017","100,204","100,395","100,550","100,000","0,51K","0,03%"
"07.02.2017","100,175","99,920","100,580","99,860","0,88K","0,40%"
"06.02.2017","99,775","99,610","100,115","99,550","0,33K","0,02%"
"03.02.2017","99,752","99,790","100,035","99,450","0,72K","0,04%"
"02.02.2017","99,713","99,450","99,745","99,145","0,43K","0,18%"
"01.02.2017","99,533","99,535","99,925","99,420","0,44K","0,11%"
"31.01.2017","99,426","100,300","100,420","99,330","1,04K","-0,90%"
"30.01.2017","100,329","100,330","100,915","100,110","0,26K","-0,09%"
"27.01.2017","100,421","100,410","100,700","100,225","0,26K","0,15%"
"26.01.2017","100,275","99,690","100,615","99,680","0,59K","0,35%"
"25.01.2017","99,924","100,130","100,230","99,740","0,48K","-0,32%"
"24.01.2017","100,249","99,885","100,300","99,790","0,35K","0,21%"
"23.01.2017","100,040","100,575","100,605","99,885","0,29K","-0,54%"
"20.01.2017","100,580","100,940","101,370","100,650","0,23K","-0,45%"
"19.01.2017","101,039","101,330","101,540","100,875","0,48K","0,22%"
"18.01.2017","100,813","100,230","101,220","100,230","0,30K","0,59%"
"17.01.2017","100,220","101,340","101,340","100,145","1,06K","-0,89%"
"16.01.2017","101,118","101,320","101,645","101,245","0,07K","0,00%"
"13.01.2017","101,118","101,380","101,575","100,770","0,91K","-0,17%"
"12.01.2017","101,292","101,645","101,655","100,650","0,47K","-0,37%"
"11.01.2017","101,672","101,985","102,830","101,220","0,36K","-0,24%"
"10.01.2017","101,921","101,785","102,010","101,465","0,45K","0,08%"
"09.01.2017","101,844","102,160","102,370","101,790","0,14K","-0,29%"
"06.01.2017","102,139","101,470","102,180","101,420","0,26K","0,68%"
"05.01.2017","101,453","102,070","102,420","101,240","0,34K","-1,17%"
"04.01.2017","102,649","103,370","103,370","102,320","0,23K","-0,48%"
"03.01.2017","103,146","102,795","103,750","102,600","0,27K","0,87%"
"30.12.2016","102,256","102,255","102,480","101,970","0,26K","-0,42%"
"29.12.2016","102,686","103,135","103,190","102,610","0,10K","-0,52%"
"28.12.2016","103,219","102,930","103,495","102,900","0,06K","0,24%"
"27.12.2016","102,977","103,025","103,120","102,925","0,07K","0,00%"
"23.12.2016","102,972","102,950","103,145","102,900","0,07K","-0,09%"
"22.12.2016","103,066","102,895","103,095","102,620","0,09K","0,07%"
"21.12.2016","102,999","103,100","103,140","102,750","0,05K","-0,25%"
"20.12.2016","103,258","103,030","103,610","102,965","0,23K","0,15%"
"19.12.2016","103,100","102,820","103,155","102,500","24,74K","0,17%"
"16.12.2016","102,924","103,140","103,210","102,545","49,18K","-0,09%"
"15.12.2016","103,018","102,445","103,535","102,100","83,05K","1,27%"
"14.12.2016","101,728","100,950","102,305","100,635","31,44K","0,73%"
"13.12.2016","100,992","100,875","101,090","100,680","18,45K","0,06%"
"12.12.2016","100,929","101,580","101,700","100,750","12,35K","-0,57%"
"09.12.2016","101,505","101,015","101,655","100,955","4,83K","0,49%"
"08.12.2016","101,013","100,130","101,155","99,250","14,32K","0,87%"
"07.12.2016","100,141","100,440","100,495","100,060","5,80K","-0,25%"
"06.12.2016","100,395","100,080","100,485","99,880","3,61K","0,43%"
"05.12.2016","99,967","101,100","101,710","99,735","22,24K","-0,78%"
"02.12.2016","100,756","100,860","101,055","100,610","3,23K","-0,24%"
"01.12.2016","100,999","101,490","101,515","100,845","1,37K","-0,44%"
"30.11.2016","101,444","100,880","101,775","100,845","4,21K","0,59%"
"29.11.2016","100,854","101,200","101,590","100,850","2,27K","-0,42%"
"28.11.2016","101,278","101,385","101,530","100,580","4,15K","-0,17%"
"25.11.2016","101,451","101,750","101,865","101,155","1,47K","-0,20%"
"24.11.2016","101,659","101,780","102,025","101,480","1,06K","0,00%"
"23.11.2016","101,659","101,015","101,860","100,880","1,52K","0,64%"
"22.11.2016","101,016","100,740","101,275","100,635","1,26K","-0,01%"
"21.11.2016","101,028","101,325","101,415","100,725","1,47K","-0,17%"
"18.11.2016","101,198","100,985","101,460","100,815","1,64K","0,33%"
"17.11.2016","100,861","100,205","100,925","99,925","2,79K","0,51%"
"16.11.2016","100,348","100,020","100,505","99,840","1,15K","0,17%"
"15.11.2016","100,175","99,725","100,195","99,460","1,16K","0,12%"
"14.11.2016","100,055","99,040","100,175","99,040","2,92K","1,09%"
"11.11.2016","98,980","98,730","99,040","98,480","0,76K","0,28%"
"10.11.2016","98,704","98,505","99,000","98,240","1,65K","0,25%"
"09.11.2016","98,454","97,930","98,600","95,820","2,82K","0,69%"
"08.11.2016","97,775","97,700","97,880","97,490","0,56K","0,06%"
"07.11.2016","97,718","97,215","97,790","97,160","0,73K","0,72%"
"04.11.2016","97,018","97,165","97,300","96,865","0,69K","-0,11%"
"03.11.2016","97,121","97,360","97,400","97,000","0,51K","-0,22%"
"02.11.2016","97,334","97,635","97,685","97,140","0,93K","-0,28%"
